"Time","strategy","exchange","price","orderid","timeinforce","Shape","Shares","color","Size"
2017-12-13 09:30:00.422568,"Qimb","NSDQ",177.3,10306,"OO",5,300,"EE00EE",16
2017-12-13 09:30:00.422566,"Qimb","NSDQ",177.3,10310,"OO",5,300,"EE00EE",16
2017-12-13 09:28:30.291547,"Qimb","NOMURA",177.39,11256,"IOC",6,100,"gold",16
2017-12-13 09:29:40.636538,"Qimb","NSDQ",177.46,11338,"DAY",6,500,"EE00EE",16
2017-12-13 09:27:57.707933,"Qimb","NSDQ",177.3,10306,"OO",0,300,"EE00EE",4
2017-12-13 09:27:57.707933,"Qimb","NSDQ",177.3,10310,"OO",0,300,"EE00EE",4
2017-12-13 09:28:30.289249,"Qimb","NOMURA",177.39,11256,"IOC",0,100,"gold",4
2017-12-13 09:29:32.851596,"Qimb","NSDQ",177.46,11338,"DAY",0,500,"EE00EE",4
